Wall time,Step,Value
1584329696.47331,0,0.5293487906455994
1584329970.42733,1,0.3488234579563141
1584330241.932125,2,0.3074307441711426
1584330483.346879,3,0.2778685390949249
1584330749.553856,4,0.25775986909866333
1584330942.757629,5,0.24228210747241974
1584331145.520441,6,0.22723770141601562
1584331336.58491,7,0.21729840338230133
1584331530.868072,8,0.20774655044078827
1584331721.264484,9,0.19918857514858246
1584331909.119146,10,0.18987590074539185
1584332096.721282,11,0.18133722245693207
1584332286.79802,12,0.17468494176864624
1584332474.917811,13,0.17100821435451508
1584332666.857026,14,0.1686333417892456
1584332878.709674,15,0.16204988956451416
1584333077.551612,16,0.15727436542510986
1584333271.266371,17,0.15508882701396942
1584333460.146129,18,0.14998508989810944
1584333646.221678,19,0.1480654776096344
1584333832.441476,20,0.14262114465236664
1584334019.402751,21,0.13864684104919434
1584334208.928553,22,0.13836798071861267
1584334399.176626,23,0.13375835120677948
1584334589.440766,24,0.1305822730064392
1584334779.661619,25,0.1277443915605545
1584334971.948876,26,0.1294906735420227
1584335162.001287,27,0.1260259747505188
1584335353.651597,28,0.11958588659763336
1584335543.816073,29,0.12271497398614883
1584335733.794468,30,0.11831913888454437
1584335919.476794,31,0.11427054554224014
1584336103.681229,32,0.11312868446111679
1584336288.482003,33,0.11131126433610916
1584336471.671565,34,0.1082579717040062
1584336646.707393,35,0.10902366042137146
1584336826.595875,36,0.1067250519990921
1584337015.702509,37,0.10601264238357544
1584337203.394737,38,0.10441616922616959
1584337390.436909,39,0.10247911512851715
1584337571.542477,40,0.1034509465098381
1584337751.482618,41,0.09776706993579865
1584337930.084633,42,0.10027536749839783
1584338108.897482,43,0.09509210288524628
1584338288.018743,44,0.09536655992269516
1584338467.601096,45,0.09369570761919022
1584338647.440707,46,0.09552530199289322
1584338825.913331,47,0.0916665643453598
1584339005.610297,48,0.09113581478595734
1584339184.081127,49,0.09191396832466125
1584339363.553096,50,0.08860159665346146
1584339544.094403,51,0.08924471586942673
1584339723.037085,52,0.08773954957723618
1584339900.82348,53,0.08813045918941498
1584340087.879095,54,0.08698803931474686
1584340271.352862,55,0.08103378117084503
1584340452.224108,56,0.084531269967556
1584340632.02497,57,0.0837511196732521
1584340812.354683,58,0.08264560252428055
1584340992.260278,59,0.0824533998966217
1584341171.220625,60,0.07996205985546112
1584341351.187701,61,0.07772959023714066
1584341528.645726,62,0.07766617834568024
1584341706.993062,63,0.07895522564649582
1584341876.390671,64,0.07883035391569138
1584342037.951396,65,0.07980584353208542
1584342199.614206,66,0.076151542365551
1584342359.493174,67,0.07786350697278976
1584361080.748736,68,0.0753372311592102
1584361239.882319,69,0.08058837056159973
1584361396.571478,70,0.07595313340425491
1584361552.326187,71,0.07545256614685059
1584370734.935024,72,0.07211818546056747
1584370896.804199,73,0.07384611666202545
1584371059.709733,74,0.07027363777160645
1584371221.547819,75,0.07412239164113998
1584383725.895886,76,0.07486927509307861
1584383938.568286,77,0.07188517600297928
1584384161.438188,78,0.07253999263048172
1584384385.196756,79,0.07028315961360931
1584384606.0558,80,0.06934760510921478
1584384836.857943,81,0.06920399516820908
1584385081.888536,82,0.06948892027139664
1584385252.066052,83,0.06686350703239441
1584385427.033624,84,0.07023130357265472
1584385596.932082,85,0.06842411309480667
1584386686.220863,86,0.067909836769104
1584386905.625748,87,0.06840308755636215
1584387078.918905,88,0.0677211582660675
1584387257.794164,89,0.06767670065164566
1584387450.116445,90,0.06748151779174805
1584387645.398242,91,0.06487620621919632
1584387837.336354,92,0.06668426096439362
1584388032.839514,93,0.062002312391996384
1584388244.645224,94,0.06292914599180222
1584388503.544434,95,0.06252795457839966
1584388763.174388,96,0.06509073078632355
1584389025.431864,97,0.06591813266277313
1584389309.085135,98,0.06315400451421738
1584389691.125905,99,0.06192511320114136
