Wall time,Step,Value
1584328268.71342,0,0.23109938204288483
1584328277.87756,1,0.22542409598827362
1584328287.280668,2,0.2164871245622635
1584328294.158178,3,0.21116921305656433
1584328299.097214,4,0.20547595620155334
1584328304.504745,5,0.19894927740097046
1584328311.316191,6,0.19567658007144928
1584328318.382759,7,0.191279336810112
1584328323.251405,8,0.18391942977905273
1584328328.655971,9,0.18010683357715607
1584328333.457969,10,0.17727942764759064
1584328338.981359,11,0.17109078168869019
1584328343.427427,12,0.16761641204357147
1584328348.500447,13,0.163695827126503
1584328353.521631,14,0.16039715707302094
1584328358.014982,15,0.1565285474061966
1584328362.819351,16,0.15475258231163025
1584328368.400266,17,0.1505783051252365
1584328374.036782,18,0.14755499362945557
1584328379.114233,19,0.1451627016067505
1584328384.376085,20,0.14099285006523132
1584328389.289593,21,0.1378130167722702
1584328394.629072,22,0.1373516470193863
1584328399.57161,23,0.13083362579345703
1584328404.67293,24,0.13282766938209534
1584328410.084275,25,0.12623330950737
1584328415.419129,26,0.12703163921833038
1584328421.013016,27,0.1217450499534607
1584328425.876285,28,0.12115716189146042
1584328431.011489,29,0.11914230138063431
1584328435.94007,30,0.11558403819799423
1584328441.086112,31,0.1147918701171875
1584328446.201984,32,0.11292018741369247
1584328451.050489,33,0.11256507784128189
1584328455.859159,34,0.10772135853767395
1584328460.636345,35,0.10527708381414413
1584328465.482425,36,0.10779380798339844
1584328470.294609,37,0.10387175530195236
1584328475.128749,38,0.10369737446308136
1584328479.972867,39,0.10096000134944916
1584328484.805266,40,0.09924152493476868
1584328489.620184,41,0.0990731343626976
1584328494.452823,42,0.0964633971452713
1584328499.331072,43,0.09404406696557999
1584328505.143471,44,0.09054538607597351
1584328510.363977,45,0.09215401858091354
1584328516.268601,46,0.09300404787063599
1584328521.209753,47,0.08844050019979477
1584328526.29319,48,0.0861593708395958
1584328531.192208,49,0.08707538992166519
1584328536.030774,50,0.08585728704929352
1584328540.871189,51,0.08345501124858856
1584328545.711744,52,0.08496636897325516
1584328550.620776,53,0.0788441002368927
1584328555.389788,54,0.08134127408266068
1584328560.151385,55,0.07857608795166016
1584328564.854394,56,0.0777609571814537
1584328569.758975,57,0.07830239087343216
1584328575.126495,58,0.07496676594018936
1584328579.9519,59,0.07534722983837128
1584328584.741041,60,0.07444274425506592
1584328589.715647,61,0.07530119270086288
1584328594.642128,62,0.07177780568599701
1584328600.047179,63,0.07326214015483856
1584328604.971539,64,0.0695166364312172
1584328609.913537,65,0.06980197876691818
1584328614.941199,66,0.06839702278375626
1584328619.913585,67,0.06971721351146698
1584328624.784385,68,0.06610237807035446
1584328629.564028,69,0.06831757724285126
1584328634.46623,70,0.0671272948384285
1584328639.295654,71,0.06457408517599106
1584328644.733048,72,0.06557279080152512
1584328649.776025,73,0.06551104038953781
1584328654.824871,74,0.060407303273677826
1584328660.99737,75,0.061873290687799454
1584328666.291123,76,0.06304530799388885
1584328671.375074,77,0.059388723224401474
1584328676.294211,78,0.059037789702415466
1584328681.388067,79,0.06008991599082947
1584328686.351214,80,0.0593705028295517
1584328691.332367,81,0.057897862046957016
1584328696.004035,82,0.05713247135281563
1584328700.82852,83,0.056189827620983124
1584328705.797578,84,0.05790530517697334
1584328710.647975,85,0.05691511929035187
1584328715.597724,86,0.05441693216562271
1584328720.468475,87,0.051475636661052704
1584328725.375724,88,0.05422886461019516
1584328730.372123,89,0.05451199412345886
1584328735.199115,90,0.05196426808834076
1584328740.634751,91,0.052987001836299896
1584328746.190008,92,0.04874603822827339
1584328751.868664,93,0.053083017468452454
1584328757.18337,94,0.051495932042598724
1584328762.317945,95,0.049399834126234055
1584328767.518585,96,0.05099666863679886
1584328772.648803,97,0.05073423683643341
1584328777.615607,98,0.047768495976924896
1584328782.595409,99,0.049677517265081406
